"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 00:00","2019","10","01","00:00","8.0","","7.3","","96","","7","","18","","12.9","","100.44","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 01:00","2019","10","01","01:00","8.1","","7.6","","97","","5","","18","","6.4","","100.46","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 02:00","2019","10","01","02:00","8.2","","7.8","","97","","7","","18","","12.9","","100.40","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 03:00","2019","10","01","03:00","8.2","","7.8","","98","","8","","19","","6.4","","100.25","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 04:00","2019","10","01","04:00","8.2","","7.8","","98","","8","","14","","4.0","","100.21","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 05:00","2019","10","01","05:00","8.2","","8.0","","98","","6","","12","","1.6","","100.25","","","","","","Thunderstorms,Moderate Rain Showers,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 06:00","2019","10","01","06:00","8.5","","8.2","","98","","6","","6","","9.7","","100.15","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 07:00","2019","10","01","07:00","8.3","","8.1","","98","","7","","17","","1.6","","100.06","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 08:00","2019","10","01","08:00","8.8","","8.6","","99","","13","","8","","0.8","","99.99","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 09:00","2019","10","01","09:00","9.3","","9.1","","99","","10","","6","","0.4","","99.96","","","","","","Drizzle,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 10:00","2019","10","01","10:00","10.1","","9.9","","99","","6","","12","","0.4","","99.87","","","","","","Drizzle,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 11:00","2019","10","01","11:00","10.5","","10.4","","99","","8","","8","","0.4","","99.78","","","","","","Rain Showers,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 12:00","2019","10","01","12:00","11.9","","11.8","","99","","9","","4","","0.6","","99.70","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 13:00","2019","10","01","13:00","13.2","","13.1","","99","","9","","4","","0.8","","99.55","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 14:00","2019","10","01","14:00","13.2","","13.1","","99","","6","","9","","1.2","","99.52","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 15:00","2019","10","01","15:00","12.9","","12.8","","99","","34","","13","","2.4","","99.51","","","","","","Thunderstorms,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 16:00","2019","10","01","16:00","13.2","","13.0","","99","","8","","7","","4.0","","99.46","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 17:00","2019","10","01","17:00","13.6","","13.4","","99","","16","","8","","4.8","","99.39","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 18:00","2019","10","01","18:00","14.3","","14.0","","98","","26","","3","","9.7","","99.39","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 19:00","2019","10","01","19:00","14.8","","14.2","","96","","36","","3","","8.1","","99.36","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 20:00","2019","10","01","20:00","15.0","","14.4","","96","","32","","8","","8.1","","99.44","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 21:00","2019","10","01","21:00","15.5","","15.1","","98","","24","","9","","6.4","","99.45","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 22:00","2019","10","01","22:00","17.3","","17.0","","99","","30","","10","","9.7","","99.48","","","","","","Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-01 23:00","2019","10","01","23:00","16.7","","16.4","","98","","30","","6","","12.9","","99.45","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 00:00","2019","10","02","00:00","16.9","","16.7","","99","","32","","16","","12.9","","99.46","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 01:00","2019","10","02","01:00","16.9","","15.6","","92","","34","","14","","16.1","","99.61","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 02:00","2019","10","02","02:00","15.1","","13.0","","87","","32","","21","","16.1","","99.67","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 03:00","2019","10","02","03:00","14.4","","11.4","","82","","35","","18","","24.1","","99.73","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 04:00","2019","10","02","04:00","13.4","","10.4","","82","","34","","16","","24.1","","99.78","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 05:00","2019","10","02","05:00","11.7","","8.6","","81","","36","","24","","24.1","","99.86","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 06:00","2019","10","02","06:00","11.0","","7.1","","77","","35","","16","","24.1","","99.89","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 07:00","2019","10","02","07:00","10.6","","6.5","","75","","35","","20","","24.1","","99.98","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 08:00","2019","10","02","08:00","10.4","","6.7","","77","","35","","21","","24.1","","100.04","","","","","","Rain Showers"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 09:00","2019","10","02","09:00","9.9","","6.7","","80","","34","","19","","24.1","","100.11","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 10:00","2019","10","02","10:00","9.9","","6.0","","76","","34","","20","","24.1","","100.15","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 11:00","2019","10","02","11:00","11.8","","5.3","","64","","36","","18","","24.1","","100.17","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 12:00","2019","10","02","12:00","11.8","","4.4","","61","","35","","18","","24.1","","100.22","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 13:00","2019","10","02","13:00","11.8","","4.4","","61","","34","","20","","24.1","","100.27","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 14:00","2019","10","02","14:00","12.4","","3.8","","56","","35","","25","","24.1","","100.30","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 15:00","2019","10","02","15:00","11.1","","3.6","","59","","34","","26","","24.1","","100.39","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 16:00","2019","10","02","16:00","10.5","","3.6","","62","","36","","19","","24.1","","100.44","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 17:00","2019","10","02","17:00","10.0","","2.4","","59","","1","","23","","24.1","","100.51","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 18:00","2019","10","02","18:00","8.8","","1.8","","61","","36","","16","","24.1","","100.56","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 19:00","2019","10","02","19:00","8.2","","1.9","","64","","36","","13","","24.1","","100.67","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 20:00","2019","10","02","20:00","7.6","","2.3","","69","","35","","13","","24.1","","100.74","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 21:00","2019","10","02","21:00","7.3","","2.5","","72","","36","","13","","24.1","","100.84","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 22:00","2019","10","02","22:00","6.8","","2.3","","73","","3","","18","","24.1","","100.87","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-02 23:00","2019","10","02","23:00","5.5","","2.3","","80","","3","","16","","24.1","","100.92","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 00:00","2019","10","03","00:00","5.0","","2.0","","81","","3","","17","","24.1","","100.91","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 01:00","2019","10","03","01:00","3.3","","1.7","","89","","5","","12","","24.1","","100.94","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 02:00","2019","10","03","02:00","2.9","","1.6","","92","","5","","13","","24.1","","100.88","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 03:00","2019","10","03","03:00","2.3","","1.2","","92","","5","","10","","24.1","","100.92","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 04:00","2019","10","03","04:00","3.1","","1.8","","91","","5","","12","","24.1","","101.02","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 05:00","2019","10","03","05:00","3.5","","1.5","","87","","5","","12","","24.1","","101.01","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 06:00","2019","10","03","06:00","3.4","","1.9","","90","","6","","11","","24.1","","100.95","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 07:00","2019","10","03","07:00","3.8","","2.0","","88","","5","","12","","24.1","","101.00","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 08:00","2019","10","03","08:00","4.7","","1.0","","77","","6","","13","","24.1","","101.00","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 09:00","2019","10","03","09:00","6.3","","0.6","","67","","9","","18","","24.1","","100.96","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 10:00","2019","10","03","10:00","7.5","","0.4","","61","","9","","21","","24.1","","100.93","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 11:00","2019","10","03","11:00","8.6","","0.7","","57","","7","","25","","24.1","","100.76","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 12:00","2019","10","03","12:00","9.4","","1.0","","56","","8","","22","","24.1","","100.70","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 13:00","2019","10","03","13:00","9.2","","1.3","","58","","5","","21","","24.1","","100.54","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 14:00","2019","10","03","14:00","8.8","","0.9","","58","","5","","23","","24.1","","100.47","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 15:00","2019","10","03","15:00","8.5","","1.3","","60","","7","","23","","24.1","","100.42","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 16:00","2019","10","03","16:00","8.4","","0.6","","58","","8","","27","","24.1","","100.26","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 17:00","2019","10","03","17:00","8.2","","0.8","","59","","9","","21","","24.1","","100.19","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 18:00","2019","10","03","18:00","7.6","","1.9","","67","","3","","10","","24.1","","100.17","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 19:00","2019","10","03","19:00","6.8","","2.4","","73","","5","","16","","24.1","","100.11","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 20:00","2019","10","03","20:00","5.1","","3.9","","92","","4","","20","","16.1","","100.12","","","","","","Rain"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 21:00","2019","10","03","21:00","4.7","","4.1","","96","","3","","25","","8.1","","100.13","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 22:00","2019","10","03","22:00","5.1","","4.6","","97","","2","","18","","4.8","","100.11","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-03 23:00","2019","10","03","23:00","5.0","","4.5","","97","","3","","16","","6.4","","100.06","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 00:00","2019","10","04","00:00","5.2","","4.7","","97","","35","","15","","6.4","","100.13","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 01:00","2019","10","04","01:00","5.2","","4.7","","97","","34","","18","","8.1","","100.22","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 02:00","2019","10","04","02:00","5.3","","4.7","","96","","35","","17","","8.1","","100.26","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 03:00","2019","10","04","03:00","5.4","","4.3","","92","","35","","17","","9.7","","100.38","","","","","","Rain,Fog"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 04:00","2019","10","04","04:00","5.4","","4.1","","91","","36","","15","","16.1","","100.49","","","","","","Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 05:00","2019","10","04","05:00","5.5","","3.9","","89","","35","","11","","24.1","","100.59","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 06:00","2019","10","04","06:00","5.1","","3.5","","89","","33","","14","","24.1","","100.71","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 07:00","2019","10","04","07:00","5.2","","4.0","","92","","32","","18","","24.1","","100.84","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 08:00","2019","10","04","08:00","6.7","","4.6","","86","","33","","18","","24.1","","100.95","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 09:00","2019","10","04","09:00","6.3","","3.4","","81","","31","","23","","24.1","","101.07","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 10:00","2019","10","04","10:00","7.2","","1.5","","67","","33","","27","","24.1","","101.16","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 11:00","2019","10","04","11:00","8.1","","1.6","","63","","32","","25","","24.1","","101.18","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 12:00","2019","10","04","12:00","8.3","","1.0","","60","","33","","27","","24.1","","101.21","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 13:00","2019","10","04","13:00","9.6","","-0.5","","49","","34","","25","","24.1","","101.20","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 14:00","2019","10","04","14:00","10.2","","0.6","","51","","34","","24","","24.1","","101.23","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 15:00","2019","10","04","15:00","10.3","","-0.3","","48","","34","","28","","24.1","","101.29","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 16:00","2019","10","04","16:00","9.6","","-1.3","","47","","34","","22","","24.1","","101.36","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 17:00","2019","10","04","17:00","8.6","","-0.9","","51","","32","","23","","24.1","","101.42","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 18:00","2019","10","04","18:00","7.4","","-0.7","","56","","35","","14","","24.1","","101.49","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 19:00","2019","10","04","19:00","6.6","","-0.6","","60","","35","","17","","24.1","","101.55","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 20:00","2019","10","04","20:00","5.7","","-0.2","","66","","35","","16","","24.1","","101.59","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 21:00","2019","10","04","21:00","4.2","","-0.3","","72","","32","","11","","24.1","","101.64","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 22:00","2019","10","04","22:00","3.0","","0.2","","81","","29","","11","","24.1","","101.65","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-04 23:00","2019","10","04","23:00","3.3","","-0.1","","79","","33","","12","","24.1","","101.69","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 00:00","2019","10","05","00:00","2.4","","-0.6","","80","","33","","7","","24.1","","101.71","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 01:00","2019","10","05","01:00","3.1","","0.0","","80","","33","","9","","24.1","","101.72","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 02:00","2019","10","05","02:00","0.4","","-1.6","","86","","28","","8","","24.1","","101.74","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 03:00","2019","10","05","03:00","-0.6","","-1.2","","96","","22","","7","","24.1","","101.76","","","","-3","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 04:00","2019","10","05","04:00","0.3","","0.0","","98","","30","","4","","24.1","","101.80","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 05:00","2019","10","05","05:00","0.2","","-0.4","","96","","30","","5","","24.1","","101.81","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 06:00","2019","10","05","06:00","-1.6","","-2.0","","97","","23","","4","","24.1","","101.84","","","","-3","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 07:00","2019","10","05","07:00","-1.0","","-1.2","","98","","15","","5","","24.1","","101.85","","","","-3","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 08:00","2019","10","05","08:00","2.8","","1.7","","92","","25","","5","","24.1","","101.87","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 09:00","2019","10","05","09:00","6.8","","3.3","","78","","1","","4","","24.1","","101.88","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 10:00","2019","10","05","10:00","8.7","","2.8","","66","","13","","7","","24.1","","101.87","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 11:00","2019","10","05","11:00","9.9","","2.4","","59","","15","","8","","24.1","","101.81","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 12:00","2019","10","05","12:00","10.9","","0.6","","49","","5","","7","","24.1","","101.73","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 13:00","2019","10","05","13:00","11.7","","1.7","","50","","36","","3","","24.1","","101.64","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 14:00","2019","10","05","14:00","12.2","","1.2","","47","","33","","6","","24.1","","101.48","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 15:00","2019","10","05","15:00","12.6","","0.6","","44","","36","","3","","24.1","","101.40","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 16:00","2019","10","05","16:00","12.5","","0.8","","45","","16","","12","","24.1","","101.33","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 17:00","2019","10","05","17:00","9.6","","1.7","","58","","13","","11","","24.1","","101.28","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 18:00","2019","10","05","18:00","8.5","","1.4","","61","","11","","8","","24.1","","101.22","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 19:00","2019","10","05","19:00","7.2","","1.4","","66","","11","","9","","24.1","","101.15","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 20:00","2019","10","05","20:00","6.2","","1.2","","70","","10","","12","","24.1","","101.12","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 21:00","2019","10","05","21:00","6.4","","1.8","","72","","10","","15","","24.1","","101.04","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 22:00","2019","10","05","22:00","6.9","","2.1","","72","","9","","15","","24.1","","101.04","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-10-05 23:00","2019","10","05","23:00","6.0","","2.4","","77","","9","","15","","24.1","","100.96","","","","","","NA"
