Date/Time,Longitude (x),Latitude (y),Station Name,Climate ID,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),extremes,extremes_smoothing,Wind Spd (km/h),humidity_mean
2012-01-01,-75.72,45.38,OTTAWA CDA,6105976.0,5.1,-4.0,0.6,17.4,0.0,1.0,0.0,1.0,12.0,-8.0,-8.0,14.875,0.0
2012-01-02,-75.72,45.38,OTTAWA CDA,6105976.0,1.0,-5.0,-2.0,20.0,0.0,0.0,0.0,0.0,9.0,-22.0,-17.333333333333332,29.79166666666667,0.0
2012-01-03,-75.72,45.38,OTTAWA CDA,6105976.0,-16.7,-19.6,-18.2,36.2,0.0,0.0,0.0,0.0,8.0,-31.0,-25.142857142857146,22.45833333333333,0.0
2012-01-04,-75.72,45.38,OTTAWA CDA,6105976.0,-6.0,-23.3,-14.7,32.7,0.0,0.0,4.0,1.3,8.0,-30.0,-27.73333333333333,8.333333333333334,0.0
2012-01-05,-75.72,45.38,OTTAWA CDA,6105976.0,-3.4,-12.9,-8.2,26.2,0.0,0.0,4.0,3.0,12.0,-17.0,-22.193548387096772,14.523809523809526,0.0
2012-01-06,-75.72,45.38,OTTAWA CDA,6105976.0,-6.5,-13.6,-10.1,28.1,0.0,0.0,0.0,0.0,12.0,-20.0,-21.079365079365076,14.95,0.0
2012-01-07,-75.72,45.38,OTTAWA CDA,6105976.0,1.0,-10.5,-4.8,22.8,0.0,0.8,0.0,0.8,10.0,-16.0,-18.519685039370078,14.409090909090908,0.0
2012-01-08,-75.72,45.38,OTTAWA CDA,6105976.0,-7.7,-10.1,-8.9,26.9,0.0,0.0,0.8,0.3,10.0,-18.0,-18.258823529411767,16.5,0.0
2012-01-09,-75.72,45.38,OTTAWA CDA,6105976.0,3.1,-10.5,-3.7,21.7,0.0,0.6,0.0,0.6,11.0,-15.0,-16.626223091976517,13.875,0.0
2012-01-10,-75.72,45.38,OTTAWA CDA,6105976.0,1.8,-2.8,-0.5,18.5,0.0,0.0,0.0,0.0,10.0,-15.0,-15.812316715542524,20.625,0.0
2012-01-11,-75.72,45.38,OTTAWA CDA,6105976.0,-5.9,-13.0,-9.5,27.5,0.0,0.2,0.3,0.5,10.0,-22.0,-18.907669760625307,18.291666666666668,0.0
2012-01-12,-75.72,45.38,OTTAWA CDA,6105976.0,-3.3,-12.0,-7.7,25.7,0.0,6.6,5.4,12.0,10.0,-20.0,-19.453968253968245,26.130434782608692,0.0
2012-01-13,-75.72,45.38,OTTAWA CDA,6105976.0,-0.5,-4.9,-2.7,20.7,0.0,0.0,11.0,11.0,15.0,-22.0,-20.727139543401293,21.63636363636364,0.0
2012-01-14,-75.72,45.38,OTTAWA CDA,6105976.0,-16.3,-24.0,-20.2,38.2,0.0,0.0,0.0,0.0,22.0,-32.0,-26.363913813098947,19.83333333333333,0.0
2012-01-15,-75.72,45.38,OTTAWA CDA,6105976.0,-14.4,-24.5,-19.5,37.5,0.0,0.0,0.0,0.0,21.0,-33.0,-29.682058168279056,11.833333333333336,0.0
2012-01-16,-75.72,45.38,OTTAWA CDA,6105976.0,-7.5,-25.3,-16.4,34.4,0.0,0.0,0.0,0.0,21.0,-33.0,-31.341054398413057,12.333333333333336,0.0
2012-01-17,-75.72,45.38,OTTAWA CDA,6105976.0,2.5,-12.2,-4.9,22.9,0.0,2.0,3.4,5.4,21.0,-17.0,-24.170472492008148,17.91304347826087,0.0
2012-01-18,-75.72,45.38,OTTAWA CDA,6105976.0,-10.5,-13.8,-12.2,30.2,0.0,0.0,0.0,0.0,22.0,-25.0,-24.58523782820827,27.54166666666667,0.0
2012-01-19,-75.72,45.38,OTTAWA CDA,6105976.0,-5.0,-20.5,-12.8,30.8,0.0,0.0,1.0,0.6,22.0,-29.0,-26.792623124357466,15.652173913043477,0.0
2012-01-20,-75.72,45.38,OTTAWA CDA,6105976.0,-14.4,-19.0,-16.7,34.7,0.0,0.0,0.0,0.0,22.0,-31.0,-28.896313568414275,18.272727272727273,0.0
2012-01-21,-75.72,45.38,OTTAWA CDA,6105976.0,-8.8,-20.5,-14.7,32.7,0.0,0.0,0.0,0.0,22.0,-27.0,-27.948156332090534,10.181818181818182,0.0
2012-01-22,-75.72,45.38,OTTAWA CDA,6105976.0,-5.3,-20.7,-13.0,31.0,0.0,0.0,0.0,0.0,22.0,-27.0,-27.4740780530162,12.565217391304348,0.0
2012-01-23,-75.72,45.38,OTTAWA CDA,6105976.0,5.8,-12.0,-3.1,21.1,0.0,4.1,0.0,4.1,22.0,-19.0,-23.237038521413627,18.125,0.0
2012-01-24,-75.72,45.38,OTTAWA CDA,6105976.0,3.2,0.0,1.6,16.4,0.0,0.0,0.0,0.0,19.0,-7.0,-15.118518776805328,23.83333333333333,0.0
2012-01-25,-75.72,45.38,OTTAWA CDA,6105976.0,-4.0,-6.7,-5.4,23.4,0.0,0.0,0.0,0.0,18.0,-15.0,-15.059259386636596,19.181818181818183,0.0
2012-01-26,-75.72,45.38,OTTAWA CDA,6105976.0,-1.1,-14.2,-7.7,25.7,0.0,9.0,1.0,10.0,18.0,-19.0,-17.029629722679104,13.130434782608695,0.0
2012-01-27,-75.72,45.38,OTTAWA CDA,6105976.0,0.6,-6.8,-3.1,21.1,0.0,3.3,3.0,6.3,20.0,-14.0,-15.514814850053304,21.33333333333333,0.0
2012-01-28,-75.72,45.38,OTTAWA CDA,6105976.0,1.7,-7.0,-2.7,20.7,0.0,0.0,1.8,1.8,21.0,-9.0,-12.257407412891862,17.458333333333332,0.0
2012-01-29,-75.72,45.38,OTTAWA CDA,6105976.0,0.4,-4.2,-1.9,19.9,0.0,0.0,0.0,0.0,23.0,-13.0,-12.628703707137525,22.54166666666667,0.0
2012-01-30,-75.72,45.38,OTTAWA CDA,6105976.0,-6.3,-12.0,-9.2,27.2,0.0,0.0,1.0,0.6,23.0,-18.0,-15.314351856069967,14.217391304347824,0.0
2012-01-31,-75.72,45.38,OTTAWA CDA,6105976.0,-5.2,-10.0,-7.6,25.6,0.0,1.1,3.7,4.8,23.0,-16.0,-15.657175928194626,16.458333333333332,0.0
2012-02-01,-75.72,45.38,OTTAWA CDA,6105976.0,1.1,-7.2,-3.1,21.1,0.0,0.0,0.0,0.0,26.0,-13.0,-14.328587963787975,14.772727272727273,0.0
2012-02-02,-75.72,45.38,OTTAWA CDA,6105976.0,-3.0,-7.5,-5.3,23.3,0.0,0.0,0.0,0.0,26.0,-16.0,-15.164293981991275,13.625,0.0
2012-02-03,-75.72,45.38,OTTAWA CDA,6105976.0,-1.3,-13.7,-7.5,25.5,0.0,0.0,0.3,0.2,26.0,-19.0,-17.082146991107273,8.391304347826088,0.0
2012-02-04,-75.72,45.38,OTTAWA CDA,6105976.0,-4.3,-11.4,-7.9,25.9,0.0,0.0,0.0,0.0,26.0,-18.0,-17.54107349556699,12.478260869565215,0.0
2012-02-05,-75.72,45.38,OTTAWA CDA,6105976.0,0.7,-17.0,-8.2,26.2,0.0,0.0,0.0,0.0,27.0,-19.0,-18.270536747794107,12.190476190476188,0.0
2012-02-06,-75.72,45.38,OTTAWA CDA,6105976.0,5.7,-3.0,1.4,16.6,0.0,0.0,0.0,0.0,27.0,-7.0,-12.635268373856055,18.416666666666668,0.0
2012-02-07,-75.72,45.38,OTTAWA CDA,6105976.0,-5.3,-7.8,-6.6,24.6,0.0,0.0,0.0,0.0,24.0,-17.0,-14.817634186935965,17.916666666666668,0.0
2012-02-08,-75.72,45.38,OTTAWA CDA,6105976.0,-0.9,-18.8,-9.9,27.9,0.0,0.0,0.0,0.0,24.0,-24.0,-19.40881709347633,13.75,0.0
2012-02-09,-75.72,45.38,OTTAWA CDA,6105976.0,3.5,-9.9,-3.2,21.2,0.0,0.0,0.0,0.0,24.0,-15.0,-17.204408546736158,17.375,0.0
