"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 00:00","2019","08","01","00:00","15.4","","10.7","","74","","28","","7","","24.1","","100.50","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 01:00","2019","08","01","01:00","14.4","","11.2","","81","","27","","7","","24.1","","100.54","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 02:00","2019","08","01","02:00","13.9","","10.9","","82","","32","","8","","24.1","","100.58","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 03:00","2019","08","01","03:00","14.7","","11.3","","80","","32","","13","","24.1","","100.61","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 04:00","2019","08","01","04:00","13.9","","10.9","","82","","32","","12","","24.1","","100.64","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 05:00","2019","08","01","05:00","12.5","","10.1","","85","","30","","10","","24.1","","100.69","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 06:00","2019","08","01","06:00","15.3","","12.6","","83","","31","","9","","24.1","","100.72","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 07:00","2019","08","01","07:00","18.6","","12.4","","67","","33","","14","","24.1","","100.76","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 08:00","2019","08","01","08:00","21.2","","11.2","","53","","36","","8","","24.1","","100.78","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 09:00","2019","08","01","09:00","22.6","","10.5","","46","","36","","9","","24.1","","100.82","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 10:00","2019","08","01","10:00","24.0","","7.2","","34","","5","","5","","24.1","","100.81","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 11:00","2019","08","01","11:00","25.2","","6.1","","29","","6","","15","","24.1","","100.79","","25","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 12:00","2019","08","01","12:00","26.8","","7.3","","28","","30","","9","","24.1","","100.77","","27","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 13:00","2019","08","01","13:00","26.6","","6.5","","27","","31","","14","","24.1","","100.75","","26","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 14:00","2019","08","01","14:00","27.1","","6.6","","27","","25","","8","","24.1","","100.71","","27","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 15:00","2019","08","01","15:00","27.2","","7.1","","27","","30","","10","","24.1","","100.66","","27","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 16:00","2019","08","01","16:00","27.1","","6.0","","26","","30","","13","","24.1","","100.64","","27","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 17:00","2019","08","01","17:00","26.8","","7.0","","28","","23","","9","","24.1","","100.61","","27","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 18:00","2019","08","01","18:00","24.9","","10.2","","39","","26","","13","","24.1","","100.58","","26","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 19:00","2019","08","01","19:00","22.8","","11.3","","48","","25","","8","","24.1","","100.60","","25","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 20:00","2019","08","01","20:00","19.8","","11.2","","57","","26","","8","","24.1","","100.62","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 21:00","2019","08","01","21:00","18.9","","10.7","","59","","21","","4","","24.1","","100.64","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 22:00","2019","08","01","22:00","15.2","","10.5","","74","","23","","4","","24.1","","100.64","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-01 23:00","2019","08","01","23:00","15.7","","11.3","","75","","18","","10","","24.1","","100.67","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 00:00","2019","08","02","00:00","16.8","","10.0","","64","","19","","10","","24.1","","100.66","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 01:00","2019","08","02","01:00","16.4","","10.1","","66","","21","","9","","24.1","","100.67","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 02:00","2019","08","02","02:00","15.3","","10.3","","72","","24","","5","","24.1","","100.66","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 03:00","2019","08","02","03:00","11.9","","9.8","","87","","20","","4","","24.1","","100.67","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 04:00","2019","08","02","04:00","12.4","","10.5","","88","","19","","10","","24.1","","100.67","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 05:00","2019","08","02","05:00","10.7","","9.6","","93","","19","","4","","24.1","","100.67","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 06:00","2019","08","02","06:00","13.6","","11.6","","88","","20","","7","","24.1","","100.70","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 07:00","2019","08","02","07:00","16.3","","12.9","","80","","19","","6","","24.1","","100.75","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 08:00","2019","08","02","08:00","19.6","","14.4","","72","","19","","4","","24.1","","100.75","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 09:00","2019","08","02","09:00","22.9","","14.2","","57","","20","","8","","24.1","","100.71","","26","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 10:00","2019","08","02","10:00","25.4","","13.8","","48","","23","","13","","24.1","","100.71","","29","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 11:00","2019","08","02","11:00","26.9","","11.6","","38","","21","","13","","24.1","","100.66","","29","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 12:00","2019","08","02","12:00","28.3","","9.8","","31","","22","","16","","24.1","","100.58","","29","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 13:00","2019","08","02","13:00","28.7","","10.0","","31","","24","","13","","24.1","","100.53","","30","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 14:00","2019","08","02","14:00","28.3","","9.3","","30","","13","","3","","24.1","","100.49","","29","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 15:00","2019","08","02","15:00","29.1","","9.3","","29","","24","","17","","24.1","","100.44","","30","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 16:00","2019","08","02","16:00","29.3","","11.3","","32","","22","","11","","24.1","","100.40","","31","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 17:00","2019","08","02","17:00","28.9","","10.8","","32","","20","","12","","24.1","","100.37","","31","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 18:00","2019","08","02","18:00","27.4","","12.0","","38","","17","","9","","24.1","","100.32","","30","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 19:00","2019","08","02","19:00","24.8","","11.5","","43","","19","","8","","24.1","","100.29","","27","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 20:00","2019","08","02","20:00","22.6","","12.4","","52","","18","","12","","24.1","","100.33","","25","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 21:00","2019","08","02","21:00","21.4","","13.2","","59","","19","","9","","24.1","","100.39","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 22:00","2019","08","02","22:00","20.3","","13.0","","62","","20","","8","","24.1","","100.37","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-02 23:00","2019","08","02","23:00","20.3","","11.0","","55","","20","","13","","24.1","","100.33","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 00:00","2019","08","03","00:00","19.6","","10.3","","54","","22","","7","","24.1","","100.29","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 01:00","2019","08","03","01:00","16.8","","10.5","","66","","26","","9","","24.1","","100.28","","","","","","Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 02:00","2019","08","03","02:00","16.8","","11.0","","68","","22","","12","","24.1","","100.25","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 03:00","2019","08","03","03:00","15.5","","11.3","","76","","23","","10","","24.1","","100.22","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 04:00","2019","08","03","04:00","15.3","","11.5","","78","","22","","6","","24.1","","100.19","","","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 05:00","2019","08","03","05:00","15.1","","11.6","","80","","27","","3","","24.1","","100.20","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 06:00","2019","08","03","06:00","15.6","","12.3","","80","","21","","7","","24.1","","100.22","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 07:00","2019","08","03","07:00","17.6","","13.8","","78","","20","","9","","24.1","","100.25","","","","","","Mostly Cloudy"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 08:00","2019","08","03","08:00","20.8","","13.4","","62","","23","","12","","24.1","","100.24","","","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 09:00","2019","08","03","09:00","23.3","","13.7","","54","","23","","10","","24.1","","100.16","","26","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 10:00","2019","08","03","10:00","25.4","","14.2","","49","","31","","19","","24.1","","100.16","","29","","","","Mainly Clear"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 11:00","2019","08","03","11:00","26.2","","15.0","","49","","29","","21","","24.1","","100.13","","30","","","","NA"
"-75.67","45.32","OTTAWA INTL A","6106001","2019-08-03 12:00","2019","08","03","12:00","24.3","","16.5","","61","","31","","21","","24.1","","100.10","","29","","","","NA"
